dilution,mM_product,ug_per_mL_product_avgTPAMHET,mg_TPAeq,percent_depolymerization,mM_product_per_mg_enzyme,mmol_product_per_mg_enzyme,umol_product_per_mg_enzyme,mg_TPAeq_per_mg_enzyme,nmol_product_per_nM_enzyme,source_well,sample_id
,0,0,0,0,0,0,0,0,0,blank,blank
,0,0,0,0,0,0,0,0,0,blank,blank
,1.02,191.86,0.08,2.8,203.98,0.102,102,16.94,1.41,LCC-ICCG,LCC-ICCG
,0.3,55.96,0.02,0.82,59.49,0.03,30,4.94,0.61,A7,DP059
,0.35,65.14,0.03,0.95,69.25,0.035,35,5.75,0.48,LCC-ICCG,LCC-ICCG
,0.05,10.16,0,0.15,10.8,0.005,5,0.9,0.1,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,0.69,129.91,0.06,1.9,138.12,0.069,69,11.47,0.95,LCC-ICCG,LCC-ICCG
,0.19,34.92,0.02,0.51,37.13,0.019,19,3.08,0.39,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,1.01,190.26,0.08,2.78,202.28,0.101,101,16.8,1.4,LCC-ICCG,LCC-ICCG
,0.33,61.62,0.03,0.9,65.51,0.033,33,5.44,0.67,A7,DP059
,0.06,11.79,0.01,0.17,12.53,0.006,6,1.04,0.13,B11,DP092
,0.17,31.4,0.01,0.46,33.38,0.017,17,2.77,0.36,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C6,DP053
,0.12,22.19,0.01,0.32,23.59,0.012,12,1.96,0.26,C7,DP061
,0.11,20.29,0.01,0.3,21.57,0.011,11,1.79,0.24,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0.19,34.92,0.02,0.51,37.13,0.019,19,3.08,0.41,C7,DP061
,0.15,27.51,0.01,0.4,29.24,0.015,15,2.43,0.32,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0.04,7.08,0,0.1,7.53,0.004,4,0.63,0.09,C7,DP061
,0.04,7.21,0,0.11,7.67,0.004,4,0.64,0.05,C11,DP093
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,F9,DP080
,0.07,13.82,0.01,0.2,14.69,0.007,7,1.22,0.1,F9,DP080
,0.11,21.14,0.01,0.31,22.47,0.011,11,1.87,0.25,G9,DP081
,0.25,46.27,0.02,0.68,49.19,0.025,25,4.09,0.36,H10,DP090
,0.07,13.11,0.01,0.19,13.94,0.007,7,1.16,0.16,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0.04,6.61,0,0.1,7.02,0.004,4,0.58,0.05,F9,DP080
,0.19,35.3,0.02,0.52,37.53,0.019,19,3.12,0.42,G9,DP081
,0.07,14.06,0.01,0.21,14.95,0.007,7,1.24,0.1,H10,DP090
,0.06,11.92,0.01,0.17,12.68,0.006,6,1.05,0.08,F9,DP080
,0.15,28.93,0.01,0.42,30.76,0.015,15,2.55,0.33,G9,DP081
,0.19,35.77,0.02,0.52,38.03,0.019,19,3.16,0.28,H10,DP090
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,blank,blank
,0,0,0,0,0,0,0,0,0,blank,blank
,1.14,215.04,0.09,3.14,228.63,0.114,114,18.99,1.57,LCC-ICCG,LCC-ICCG
,0.35,66.09,0.03,0.96,70.26,0.035,35,5.84,0.71,A7,DP059
,0.39,73.97,0.03,1.08,78.64,0.039,39,6.53,0.54,LCC-ICCG,LCC-ICCG
,0.06,10.74,0,0.16,11.42,0.006,6,0.95,0.12,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,0.82,155.18,0.07,2.26,164.98,0.082,82,13.7,1.13,LCC-ICCG,LCC-ICCG
,0.24,45.8,0.02,0.67,48.69,0.024,24,4.04,0.49,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,1.1,206.45,0.09,3.01,219.5,0.11,110,18.23,1.52,LCC-ICCG,LCC-ICCG
,0.37,70.54,0.03,1.03,74.99,0.037,37,6.23,0.75,A7,DP059
,0.08,14.77,0.01,0.22,15.7,0.008,8,1.3,0.17,B11,DP092
,0.2,38.11,0.02,0.56,40.51,0.02,20,3.37,0.43,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0.04,7.21,0,0.11,7.67,0.004,4,0.64,0.09,C7,DP061
,0,0,0,0,0,0,0,0,0,C6,DP053
,0.16,29.74,0.01,0.43,31.62,0.016,16,2.63,0.34,C7,DP061
,0.16,29.4,0.01,0.43,31.26,0.016,16,2.6,0.34,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0.21,40.24,0.02,0.59,42.78,0.021,21,3.55,0.45,C7,DP061
,0.15,28.56,0.01,0.42,30.36,0.015,15,2.52,0.32,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0.11,20.9,0.01,0.31,22.22,0.011,11,1.85,0.24,C7,DP061
,0.04,7.08,0,0.1,7.53,0.004,4,0.63,0.05,C11,DP093
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0.03,6.27,0,0.09,6.66,0.003,3,0.55,0.04,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,F9,DP080
,0.09,17.58,0.01,0.26,18.69,0.009,9,1.55,0.12,F9,DP080
,0.14,26.32,0.01,0.38,27.98,0.014,14,2.32,0.31,G9,DP081
,0.26,49.08,0.02,0.72,52.18,0.026,26,4.33,0.38,H10,DP090
,0.08,15.11,0.01,0.22,16.06,0.008,8,1.33,0.18,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0.23,42.85,0.02,0.63,45.56,0.023,23,3.78,0.51,G9,DP081
,0.07,13.58,0.01,0.2,14.44,0.007,7,1.2,0.1,H10,DP090
,0.06,10.97,0,0.16,11.67,0.006,6,0.97,0.08,F9,DP080
,0.14,26.32,0.01,0.38,27.98,0.014,14,2.32,0.31,G9,DP081
,0.06,10.5,0,0.15,11.16,0.006,6,0.93,0.09,H10,DP090
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,blank,blank
,0,0,0,0,0,0,0,0,0,blank,blank
,2.91,546.62,0.24,7.98,581.15,0.291,291,48.27,4.02,LCC-ICCG,LCC-ICCG
,0.33,61.85,0.03,0.9,65.76,0.033,33,5.46,0.67,A7,DP059
,1.17,220.93,0.1,3.22,234.89,0.117,117,19.51,1.62,LCC-ICCG,LCC-ICCG
,0.34,64.8,0.03,0.95,68.89,0.034,34,5.72,0.69,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,2.37,445.78,0.2,6.51,473.95,0.237,237,39.37,3.27,LCC-ICCG,LCC-ICCG
,0.41,76.91,0.03,1.12,81.77,0.041,41,6.79,0.83,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,2.39,449.71,0.2,6.56,478.12,0.239,239,39.72,3.3,LCC-ICCG,LCC-ICCG
,0.17,31.16,0.01,0.45,33.13,0.017,17,2.75,0.35,A7,DP059
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,blank,blank
,0,0,0,0,0,0,0,0,0,blank,blank
,2.88,541.96,0.24,7.91,576.2,0.288,288,47.86,3.98,LCC-ICCG,LCC-ICCG
,0.35,66.32,0.03,0.97,70.51,0.035,35,5.86,0.71,A7,DP059
,1.27,238.1,0.11,3.48,253.15,0.127,127,21.03,1.75,LCC-ICCG,LCC-ICCG
,0.31,59.14,0.03,0.86,62.88,0.031,31,5.22,0.63,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,2.44,459.03,0.2,6.7,488.03,0.244,244,40.54,3.37,LCC-ICCG,LCC-ICCG
,0.53,99.12,0.04,1.45,105.38,0.053,53,8.75,1.08,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,2.87,540.24,0.24,7.89,574.37,0.287,287,47.71,3.96,LCC-ICCG,LCC-ICCG
,0.22,42.14,0.02,0.62,44.8,0.022,22,3.72,0.45,A7,DP059
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0.04,7.21,0,0.11,7.67,0.004,4,0.64,0.06,H10,DP090
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0.04,6.84,0,0.1,7.27,0.004,4,0.6,0.06,H10,DP090
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,blank,blank
,0,0,0,0,0,0,0,0,0,blank,blank
,0.52,97.89,0.04,1.43,104.08,0.052,52,8.65,0.72,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0.15,27.98,0.01,0.41,29.75,0.015,15,2.47,0.21,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,0.35,65.75,0.03,0.96,69.9,0.035,35,5.81,0.48,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,0.53,99.98,0.04,1.46,106.29,0.053,53,8.83,0.73,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0.1,18.77,0.01,0.27,19.95,0.01,10,1.66,0.14,H10,DP090
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0.07,12.26,0.01,0.18,13.04,0.007,7,1.08,0.1,H10,DP090
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,blank,blank
,0,0,0,0,0,0,0,0,0,blank,blank
,0.94,176.15,0.08,2.57,187.28,0.094,94,15.56,1.3,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0.21,39.29,0.02,0.57,41.78,0.021,21,3.47,0.29,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,0.52,98.26,0.04,1.43,104.47,0.052,52,8.68,0.72,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
,0.63,119.24,0.05,1.74,126.77,0.063,63,10.53,0.87,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0.06,11.69,0.01,0.17,12.42,0.006,6,1.03,0.08,D12,DP003
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,F9,DP080
,0.03,6.27,0,0.09,6.66,0.003,3,0.55,0.04,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0.34,64.66,0.03,0.94,68.75,0.034,34,5.71,0.49,H10,DP090
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0.1,18.19,0.01,0.27,19.34,0.01,10,1.61,0.14,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0.17,31.16,0.01,0.45,33.13,0.017,17,2.75,0.25,H10,DP090
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,H3,DP034
,0,0,0,0,0,0,0,0,0,B12,RFP
,0,0,0,0,0,0,0,0,0,blank,blank
,0,0,0,0,0,0,0,0,0,blank,blank
,6.73,1266.08,0.56,18.48,1346.07,0.673,673,111.81,9.3,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,3.87,727.07,0.32,10.61,773,0.387,387,64.21,5.35,LCC-ICCG,LCC-ICCG
,0.04,7.21,0,0.11,7.67,0.004,4,0.64,0.08,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
10X,8.36,1572.88,0.69,22.96,1672.25,0.836,836,138.91,11.55,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0,0,0,0,0,0,0,0,0,blank,blank
10X,10.93,2055.96,0.91,30.01,2185.85,1.093,1093,181.57,15.1,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,A7,DP059
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,B11,DP092
,0,0,0,0,0,0,0,0,0,C6,DP053
,0,0,0,0,0,0,0,0,0,C7,DP061
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,C11,DP093
,0,0,0,0,0,0,0,0,0,D2,DP022
,0,0,0,0,0,0,0,0,0,D12,DP003
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,E5,DP047
,0,0,0,0,0,0,0,0,0,E9,DP079
,0,0,0,0,0,0,0,0,0,E10,DP087
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
,0,0,0,0,0,0,0,0,0,H10,DP090
,0,0,0,0,0,0,0,0,0,F9,DP080
,0,0,0,0,0,0,0,0,0,G9,DP081
